Wind,Rain,River,Wave,Thunder,Bird,Amphibian,Insect,Mammal,Reptile,Walking,Cycling,Beep,Car,Car honk,Motorbike,Plane,Helicoptere,Boat,Others_motors,Shoot,Bell,Talking,Music,Dog bark,Kitchen sounds,Rolling shutter
Wind,Rain,Stream,Ocean,Thunderstorm,"Bird vocalization, bird call, bird song",Frog,Insect,"Rodents, rats, mice",Snake,Run,Bicycle,Reversing beeps,Car passing by,"Vehicle horn, car horn, honking",Motorcycle,Aircraft engine,Helicopter,"Motorboat, speedboat","Traffic noise, roadway noise","Gunshot, gunfire",Chime,Speech,Music,Dog,Door,"Power windows, electric windows"
,,Waterfall,,,"Pigeon, dove",,,"Canidae, dogs, wolves",,"Walk, footsteps",Bicycle bell,,Tire squeal,,,"Fixed-wing aircraft, airplane",,Ship,,,Jingle bell,"Hubbub, speech noise, speech babble",,,Cupboard open or close,
,,,,,Crow,,,,,,,,,,,,,"Sailboat, sailing ship",,,Cowbell,,,,Drawer open or close,
,,,,,Owl,,,,,,,,,,,,,,,,Church bell,,,,"Dishes, pots, and pans",
,,,,,"Gull, seagull",,,,,,,,,,,,,,,,Change ringing (campanology),,,,"Cutlery, silverware",
,,,,,,,,,,,,,,,,,,,,,,,,,Chopping (food),
,,,,,,,,,,,,,,,,,,,,,,,,,Sink (filling or washing),
,,,,,,,,,,,,,,,,,,,,,,,,,"Water tap, faucet",
,,,,,,,,,,,,,,,,,,,,,,,,,Kettle whistle,
,,,,,,,,,,,,,,,,,,,,,,,,,Microwave oven,
,,,,,,,,,,,,,,,,,,,,,,,,,Blender,
